country,iso3,inform_risk,inform_p2p_hazard_and_exposure_dimension,population_density,population_living_in_urban_areas,proportion_of_population_with_basic_handwashing_facilities_on_premises,people_using_at_least_basic_sanitation_services,inform_vulnerability,inform_health_conditions,inform_epidemic_vulnerability,mortality_rate_under_5,prevalence_of_undernourishment,inform_lack_of_coping_capacity,inform_access_to_healthcare,inform_epidemic_lack_of_coping_capacity,physicians_density,current_health_expenditure_per_capita,maternal_mortality_ratio,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate,entity,year,total_covid_19_tests,Edu_Idx_2018,HDI Rank (2018),pop2020,area,Density,GrowthRate
Gambia,GMB,4.2,7.5,225.31,61.27,7.88,39.23115,5.4,2.3,4.8,63.59999847,10.2,5.6,7.5,3,1.08,74.31,706,Gambia,5/8/20 4:32,13.4432,-15.3101,18,1,9,8,0.744828408,5.555555556,,,,0.833,174,2416.668,10689,226.0893,1.0294
Georgia,GEO,3.9,3.2,65.28,58.632,No data,90.02479,4.8,1,6.8,10.80000019,7.9,3.2,2.5,0.9,50.98,797.18,36,Georgia,5/8/20 4:32,42.3154,43.3569,615,9,275,331,15.4167215,1.463414634,,,,0.755,70,3989.167,69700,57.2334,0.9981
Germany,DEU,2,2.8,237.37,77.312,No data,99.22504,3.4,0.1,5.2,3.700000048,2.4,1.5,0.4,4,42.09,5463.33,6,Germany,5/8/20 4:32,51.1657,10.4515,169430,7392,141700,20338,202.2225141,4.36286372,Germany,5/3/20,2755770,0.511,4,83783.942,357114,234.614,1.0032
Ghana,GHA,3.8,5.9,130.82,56.06,41.05,18.47217,4.3,4.7,4.4,49.29999924,5.5,5.1,5.9,2.4,1.8,189.37,319,Ghana,5/8/20 4:32,7.9465,-1.0232,3091,18,303,2770,9.94756049,0.582335814,Ghana,5/2/20,129461,0.34,142,31072.94,238533,130.2668,1.0215
Greece,GRC,3.1,2.7,83.22,79.058,No data,98.98319,2.8,0.2,4.3,5.300000191,2.4,2.5,0.9,3.6,45.92,2261.16,3,Greece,5/8/20 4:32,39.0742,21.8243,2678,148,1374,1156,25.69304051,5.526512323,Greece,5/6/20,87052,0.402,32,10423.054,131990,78.9685,0.9952
Grenada,GRD,1.8,3.3,327.81,36.272,No data,91.49389,1.6,0.1,5.1,16.70000076,18.1,3.9,4.1,5,14.47,745.1,27,Grenada,5/8/20 4:32,12.1165,-61.679,21,0,13,8,18.66351461,0,,,,0.601,78,112.523,344,327.1017,1.0046
Guatemala,GTM,5.7,4.9,160.95,51.054,76.67,65.06314,5.8,1.1,4.9,27.60000038,15.2,5.5,5.4,5.9,3.55,462.41,88,Guatemala,5/8/20 4:32,15.7835,-90.2308,832,23,90,719,4.644005964,2.764423077,,,,0.445,126,17915.568,108889,164.5306,1.019
Guinea,GIN,5.1,7.1,50.52,36.14,17.45,22.71927,4.4,5.4,5.3,85.69999695,16.5,7.4,9.1,6.6,0.79,107.72,679,Guinea,5/8/20 4:32,9.9456,-9.6966,1927,11,629,1287,14.67319364,0.570835496,,,,0.503,174,13132.795,245857,53.4164,1.0283
Guinea-Bissau,GNB,4.6,6.5,66.65,43.36,6.4,20.538,5.6,5.6,4.1,84.19999695,28,7.9,6.9,3.4,2,97.97,549,Guinea-Bissau,5/8/20 4:32,11.8037,-15.1804,564,2,25,537,28.65856571,0.354609929,,,,0.86,178,1968.001,36125,54.4775,1.0245
Guyana,GUY,3.4,2.3,3.96,26.606,77.16,85.7631,3.2,4,4.4,31.29999924,8.1,5.3,5,5.9,7.99,332.67,229,Guyana,5/8/20 4:32,4.860416,-58.93018,93,10,27,56,11.82365214,10.75268817,,,,0.816,123,786.552,214969,3.6589,1.0048
Haiti,HTI,6.6,6.7,403.6,55.278,22.86,34.70445,6.3,3.3,4.1,71.69999695,49.3,7.3,7.9,4.2,2.35,95.44,359,Haiti,5/8/20 4:32,18.9712,-72.2852,129,12,16,101,1.131327574,9.302325581,,,,0.918,169,11402.528,27750,410.9019,1.0124
,,,,,,,,,,,,,,,,,,,Holy See,5/8/20 4:32,41.9029,12.4534,12,0,2,10,1483.312732,0,,,,,,,,,
Honduras,HND,5.3,4.5,85.69,57.096,84.17,81.25126,5.4,1.1,4,18.20000076,12.9,5.2,4.9,2,3.14,400.34,129,Honduras,5/8/20 4:32,15.2,-86.2419,1685,105,154,1426,17.01228358,6.231454006,,,,0.625,132,9904.607,112492,88.0472,1.0163
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hong Kong,4/27/20,154989,0.743,4,7496.981,1104,6790.7437,1.0082
Hungary,HUN,1.9,2.7,107.91,71.351,No data,97.99088,1.5,0.1,4.6,4.5,2.4,2.2,1.4,2.4,32.31,1963.16,17,Hungary,5/8/20 4:32,47.1625,19.5033,3150,383,801,1966,32.60751422,12.15873016,Hungary,5/6/20,86743,0.918,43,9660.351,93028,103.8435,0.9975
Iceland,ISL,1.2,3.8,3.53,93.813,No data,98.78217,0.8,0.1,7.7,2.099999905,2.4,1.9,0.4,2.7,39.7,4245.11,3,Iceland,5/8/20 4:32,64.9631,-19.0208,1801,10,1755,36,527.7655678,0.555247085,Iceland,5/5/20,51622,0.876,6,341.243,103000,3.313,1.0065
India,IND,5.4,4.9,454.94,34.03,59.55,59.54345,4.9,2.2,7,39.40000153,14.5,4.3,5.6,2.7,7.78,241.48,174,India,5/8/20 4:32,20.593684,78.96288,56383,1889,16776,37718,4.085711655,3.350300623,India,5/6/20,1276781,0.793,129,1380004.385,3287590,419.7617,1.0099
Indonesia,IDN,4.7,4.7,147.75,55.325,64.2,73.12839,3.2,2.7,7.1,25.39999962,8.3,4.5,6,3.5,3.78,362.72,126,Indonesia,5/8/20 4:32,-0.7893,113.9213,12776,930,2381,9465,4.670894584,7.279273638,Indonesia,5/6/20,92976,0.692,111,273523.615,1904569,143.6144,1.0107
Iran,IRN,5.2,3.9,50.22,74.898,No data,88.42187,4.9,0.1,6.2,14.89999962,4.9,4.4,3.1,4.7,11.4,1563.75,25,Iran,5/8/20 4:32,32.427908,53.688046,103135,6486,82744,13905,122.7900631,6.288844718,Iran,5/6/20,531275,0.85,65,83992.949,1648195,50.9606,1.013
Iraq,IRQ,7,4.3,88.53,70.473,94.58,94.12102,5.9,0.5,6.2,30.39999962,29,6.8,5.9,2.1,8.22,493.72,50,Iraq,5/8/20 4:32,33.223191,43.679291,2543,102,1626,815,6.322331557,4.011010617,,,,0.678,120,40222.493,438317,91.7658,1.0232
Ireland,IRL,1.4,3.1,70.45,63.17,No data,91.24518,1.3,0.2,5.5,3.5,2.4,1.9,0.9,2.5,30.86,5299.65,8,Ireland,5/8/20 4:32,53.1424,-7.6921,22385,1403,17110,3872,453.3399112,6.267589904,Ireland,5/5/20,214761,0.817,3,4937.786,70273,70.2658,1.0113
Israel,ISR,2.7,4.1,410.53,92.418,No data,100.00001,2,0.1,5.3,3.599999905,2.4,2.1,0.8,1.7,32.18,2843.04,5,Israel,5/8/20 4:32,31.046051,34.851612,16381,240,10873,5268,189.2544903,1.46511202,Israel,5/5/20,413517,0.526,22,8655.535,20770,416.7325,1.016
Italy,ITA,2.6,2.8,205.45,70.438,No data,98.77243,2.5,0.2,5.2,3.400000095,2.4,2.2,0.4,8.2,40.93,3427.31,4,Italy,5/8/20 4:32,41.8719,12.5674,215858,29958,96276,89624,357.0153387,13.87856832,Italy,5/6/20,2310929,0.59,29,60461.826,301336,200.6459,0.9985
Jamaica,JAM,3.1,3.8,270.99,55.674,66.42,87.3126,2.3,1.7,5.8,15.19999981,8,3.6,4.2,0.8,13.2,535.66,89,Jamaica,5/8/20 4:32,18.1096,-77.2975,488,9,58,421,16.48002253,1.844262295,,,,0.862,96,2961.167,10991,269.4174,1.0044
Japan,JPN,2.3,3.2,347.07,91.616,No data,99.89471,1.5,0.2,4.5,2.599999905,2.4,1.5,1.1,3.5,24.12,4592.43,5,Japan,5/8/20 4:32,36.204824,138.252924,15477,577,4918,9982,12.23705996,3.728112683,Japan,5/6/20,188927,0.625,19,126476.461,377930,334.6558,0.997
Jordan,JOR,4.6,4.7,112.14,90.979,No data,97.33975,6.3,0.1,4.9,17,12.2,4.3,3.3,3,23.44,494.75,58,Jordan,5/8/20 4:32,31.24,36.51,494,9,381,104,4.841646787,1.821862348,,,,0.734,102,10203.134,89342,114.2031,1.01
Kazakhstan,KAZ,1.9,2.6,6.77,57.428,99,97.8737,0.7,0.5,5.6,10,2.4,3.8,2.3,5.3,32.52,858.77,12,Kazakhstan,5/8/20 4:32,48.0196,66.9237,4578,30,1518,3030,24.38127197,0.655307995,Kazakhstan,5/6/20,336480,0.481,50,18776.707,2724900,6.8908,1.0121
Kenya,KEN,6,6.1,90.3,27.03,24.65,29.05112,6,4.6,5.7,45.59999847,29.4,6.2,7.7,5,1.99,143.54,510,Kenya,5/8/20 4:32,-0.0236,37.9062,607,29,197,381,1.128854984,4.777594728,Kenya,5/5/20,25869,0.871,147,53771.296,580367,92.6505,1.0228
Kiribati,KIR,3.6,5.9,143.02,54.057,No data,47.80289,4.2,8.8,4.4,54.59999847,2.7,5.3,5.5,5,2.03,249.84,90,,,,,,,,,,,,,,0.604,132,119.449,811,147.2861,1.0157
Korea DPR,PRK,5.2,3.9,212.19,61.899,No data,83.15841,4.7,3.9,5.2,19,47.8,6.5,0.7,1.1,36.74,No data,82,,,,,,,,,,,,,,,,,,,
Korea Republic of,KOR,2.1,3.9,529.65,81.459,No data,100,1.3,0.4,4,3.299999952,2.4,1.8,1.4,2.8,23.66,2711.74,11,"Korea, South",5/8/20 4:32,35.907757,127.766922,10822,256,9484,1082,21.10819671,2.365551654,South Korea,5/6/20,643095,0.51,22,51269.185,100210,511.6175,1.0009
,,,,,,,,,,,,,,,,,,,Kosovo,5/8/20 4:32,42.602636,20.902977,861,27,562,272,47.55944378,3.135888502,,,,,,,,,
Kuwait,KWT,1.8,4.9,232.17,100,No data,100,1.5,0.3,4.5,8.100000381,2.8,3.7,1,4.8,25.79,2899.26,4,Kuwait,5/8/20 4:32,29.31166,47.481766,6567,44,2381,4142,153.7736359,0.67001675,,,,0.422,57,4270.571,17818,239.6773,1.0151
Kyrgyzstan,KGZ,3.9,3.6,32.93,36.351,89.22,96.50707,2.6,0.8,5,20,7.1,4.5,4.2,4.5,18.76,240.23,76,Kyrgyzstan,5/8/20 4:32,41.20438,74.766098,906,12,650,244,13.88677922,1.324503311,,,,0.607,122,6524.195,199951,32.629,1.0169
,,,,,,,,,,,,,,,,,,,Laos,5/8/20 4:32,19.85627,102.495496,19,0,9,10,0.261148426,0,,,,0.827,140,7275.56,236800,30.7245,1.0148
Lao PDR,LAO,4.5,4.6,30.6,35.004,49.84,74.45941,4,1.7,4.8,63.40000153,16.5,5.8,5.8,1.8,5,154.63,197,,,,,,,,,,,,,,,,,,,
Latvia,LVA,1.5,2.4,30.98,68.142,No data,92.14826,1.2,0.7,4.6,4.199999809,2.4,2.6,2.1,3.2,31.95,1589.69,18,Latvia,5/8/20 4:32,56.8796,24.6032,909,18,464,427,48.19208123,1.98019802,Latvia,5/6/20,68627,0.802,39,1886.198,64559,29.2167,0.9892
Lebanon,LBN,5.2,4.6,669.49,88.593,No data,98.47664,6.1,0.1,5.8,7.800000191,11,4.2,3.9,5.4,22.71,1147.37,15,Lebanon,5/8/20 4:32,33.8547,35.8623,784,25,220,539,11.4864356,3.18877551,,,,0.459,93,6825.445,10452,653.0277,0.9956
Lesotho,LSO,4.2,5.2,69.44,28.153,2.12,42.75432,5,7.3,6.8,85.90000153,13.1,6.8,5.4,5.7,No data,242.73,487,,,,,,,,,,,,,,,,2142.249,30355,70.5732,1.008
Liberia,LBR,5.3,6.8,50.03,51.151,1.19,16.97352,6.2,4.8,5,74.69999695,37.2,7.6,7.5,5.5,0.37,133.15,725,Liberia,5/8/20 4:32,6.428055,-9.429499,189,20,79,90,3.736893439,10.58201058,,,,0.564,176,5057.681,111369,45.4137,1.0244
Libya,LBY,6.2,3,3.8,80.102,No data,100,4.4,0.4,3.4,12.39999962,10.4,6.7,3.4,1.2,21.58,627.31,9,Libya,5/8/20 4:32,26.3351,17.228331,64,3,24,37,0.931412121,4.6875,,,,0.29,110,6871.292,1759540,3.9052,1.0138
Liechtenstein,LIE,0.9,1.9,236.94,14.338,No data,99.95,0.8,x,4.4,No data,2.4,1.1,x,2.4,No data,No data,No data,Liechtenstein,5/8/20 4:32,47.14,9.55,82,1,55,26,215.0142906,1.219512195,,,,0.818,18,38.128,160,238.3,1.0029
Lithuania,LTU,1.4,2.4,44.53,67.679,No data,93.35364,1.2,0.5,6.2,4.300000191,2.4,2.4,1.3,1.2,43.37,1978.27,10,Lithuania,5/8/20 4:32,55.1694,23.8813,1433,49,739,645,52.63948637,3.41939986,Lithuania,5/6/20,156493,0.707,34,2722.289,65300,41.689,0.9865
Luxembourg,LUX,0.9,3.8,250.09,90.981,No data,97.60054,1.3,0.3,4.9,2.599999905,2.4,1.3,0.9,6.8,30.27,6374.2,10,Luxembourg,5/8/20 4:32,49.8153,6.1296,3859,100,3505,254,616.477309,2.591344908,Luxembourg,5/6/20,50533,0.73,21,625.978,2586,242.0642,1.0166
Madagascar,MDG,5.2,6.8,45.14,37.191,50.54,10.50676,5.1,4,5.3,44.20000076,44.4,7.2,6.9,5.5,1.81,90.43,353,Madagascar,5/8/20 4:32,-18.766947,46.869107,193,0,101,92,0.696976879,0,,,,0.684,162,2083.374,25713,81.0242,1
Malawi,MWI,4.9,6.4,192.44,16.937,8.7,26.22615,6.1,6.3,6,55.40000153,17.5,6.7,7.5,1.7,0.16,115.16,634,Malawi,5/8/20 4:32,-13.254308,34.301525,43,3,14,26,0.224778365,6.976744186,,,,0.578,172,19129.952,118484,161.456,1.0269
Malaysia,MYS,3.3,4.2,95.96,76.036,No data,99.57203,3.1,0.7,2.6,7.900000095,2.5,3.1,3.3,3.9,15.13,1052.55,40,Malaysia,5/8/20 4:32,4.210484,101.975766,6467,107,4776,1584,19.98084533,1.654553889,Malaysia,5/6/20,222150,0.708,61,32365.999,330803,97.8407,1.013
Maldives,MDV,2.4,5.4,1718.99,39.808,95.8,99.373,1.9,0.3,4.4,7.900000095,10.3,4.2,3.2,6.5,10.38,1628.54,68,Maldives,5/8/20 4:32,3.2028,73.2207,648,3,20,625,119.8796763,0.462962963,,,,0.734,104,540.544,300,1801.8133,1.0181
Mali,MLI,6.4,6.2,15.64,42.356,52.23,39.33542,6.1,4.3,6.6,106,6.3,6.7,8.1,2.3,1.39,81.18,587,Mali,5/8/20 4:32,17.570692,-3.996166,650,32,271,347,3.209744349,4.923076923,,,,0.797,184,20250.833,1240192,16.3288,1.0302
Malta,MLT,1.9,4.7,1511.03,94.612,No data,99.95599,2.1,0.1,3.5,6.400000095,2.4,2.4,0.5,5.4,38.26,3511.14,9,Malta,5/8/20 4:32,35.9375,14.3754,486,5,413,68,110.0695522,1.028806584,,,,0.547,28,441.543,316,1397.288,1.0027
Marshall Islands,MHL,3.7,4.7,324.52,77.031,82.5,83.49406,3.9,6.2,3.8,34,2.7,6.3,6.9,6.9,4.55,934.44,No data,,,,,,,,,,,,,,0.389,117,59.19,181,327.0166,1.0068
Mauritania,MRT,5.7,5.7,4.27,53.672,15.95,48.43549,6.2,1.5,5.2,79,10.4,6.5,7.3,2.9,1.79,163.92,602,Mauritania,5/8/20 4:32,21.0079,-10.9408,8,1,6,1,0.172055591,12.5,,,,0.452,161,4649.658,1030700,4.5112,1.0274
Mauritius,MUS,2,3,623.3,40.793,No data,95.50484,1.4,0.7,5.2,13.10000038,6.5,2.9,3.2,2.7,20.25,1206.74,53,Mauritius,5/8/20 4:32,-20.348404,57.552152,332,10,320,2,26.10541082,3.012048193,,,,0.582,66,1271.768,2040,623.4157,1.0017
Mexico,MEX,5.1,3.9,64.91,80.156,87.85,91.18306,3.7,0.9,6,13.39999962,3.6,4.5,3.1,3.9,22.48,971.82,38,Mexico,5/8/20 4:32,23.6345,-102.5528,29616,2961,17781,8874,22.97011373,9.997974068,Mexico,5/5/20,89565,0.906,76,128932.753,1964375,65.6355,1.0106
Micronesia,FSM,3.9,3.6,160.91,22.703,No data,88.30933,4.6,5,3.6,32.20000076,2.7,5.2,5.3,3.4,No data,431.59,100,,,,,,,,,,,,,,0.923,135,115.023,702,163.8504,1.0106
Moldova Republic of,MDA,3,3.2,123.52,42.629,86.98,76.3082,2,1.1,4.7,15.5,2.4,4.6,3.3,3.4,32,480.38,23,Moldova,5/8/20 4:32,47.4116,28.3699,4605,145,1747,2713,114.1557322,3.148751357,,,,0.566,107,4033.963,33846,119.1858,0.9977
,,,,,,,,,,,,,,,,,,,Monaco,5/8/20 4:32,43.7333,7.4167,95,4,82,9,242.0752217,4.210526316,,,,0.247,92,3278.29,1564110,2.0959,1.0165
Mongolia,MNG,2.8,3.7,2.04,68.445,71.18,58.47939,3,2.6,3.3,17.20000076,13.4,5,3.8,4,28.87,466.69,44,Mongolia,5/8/20 4:32,46.8625,103.8467,42,0,13,29,1.281154943,0,,,,0.486,52,628.066,13812,45.4725,1.0001
Montenegro,MNE,2.2,2.9,46.27,66.813,No data,97.77388,1.4,0.2,5.5,3.5,2.4,3.3,3.1,3,23.34,1333.93,7,Montenegro,5/8/20 4:32,42.708678,19.37439,324,8,265,51,51.58726368,2.469135802,,,,,,4.992,102,48.9412,1.0006
Morocco,MAR,4.1,4.8,80.73,62.453,No data,88.50364,3.3,0.5,5.8,23.29999924,3.4,4.8,4.5,5.1,7.27,465.7,121,Morocco,5/8/20 4:32,31.7917,-7.0926,5548,183,2179,3186,15.03092963,3.298485941,Morocco,5/1/20,37006,0.697,121,36910.56,446550,82.6572,1.012
Mozambique,MOZ,6.2,6.6,37.51,35.988,12.23,29.36029,6.8,9.3,4.9,72.40000153,27.9,6.7,7.6,5.2,0.73,61.65,489,Mozambique,5/8/20 4:32,-18.665695,35.529562,81,0,24,57,0.259154928,0,,,,0.919,180,31255.435,801590,38.9918,1.0293
Myanmar,MMR,6.3,4,82.24,30.579,79.29,64.33268,5.3,3.9,6.3,48.59999847,10.6,6.3,5.3,3.8,8.64,291.09,178,MS Zaandam,5/8/20 4:32,,,9,2,0,7,,22.22222222,,,,0.732,145,54409.8,676578,80.4191,1.0067
Namibia,NAM,3.8,5.1,2.97,50.032,44.6,34.50374,4.7,5.9,4.4,44.20000076,27.3,5,5.2,5.8,No data,969.26,265,Namibia,5/8/20 4:32,-22.9576,18.4904,16,0,9,7,0.629694173,0,,,,0.407,130,2540.905,825615,3.0776,1.0186
Nauru,NRU,3.3,4.9,635.2,100,No data,65.59553,4.6,2.3,5.2,33,2.7,5.4,4.7,6.9,12.39,1246.3,No data,,,,,,,,,,,,,,,,10.824,21,515.4286,1.0063
Nepal,NPL,5.4,5.1,195.94,19.74,47.78,62.0536,4.7,2.3,6.6,33.70000076,8.7,5.8,6.2,0.9,6.51,155.97,258,Nepal,5/8/20 4:32,28.1667,84.25,101,0,22,79,0.346640579,0,Nepal,5/5/20,13850,0.845,147,29136.808,147181,197.9658,1.0185
Netherlands,NLD,1.4,3.5,511.46,91.49,No data,97.71361,2.1,0.1,5.9,3.900000095,2.4,1.3,0.6,1.1,35.07,5251.24,7,Netherlands,5/8/20 4:32,52.3167,5.55,41973,5306,147,36520,244.9565865,12.64145999,Netherlands,5/5/20,243277,0.66,10,17134.872,41850,409.4354,1.0022
New Zealand,NZL,1.6,3.1,18.55,86.538,No data,100,0.9,0.1,5.7,5.300000191,2.4,1.8,0.9,3.3,30.25,3664.72,11,New Zealand,5/8/20 4:32,-40.9006,174.886,1490,21,1347,122,30.89854845,1.409395973,New Zealand,5/5/20,160700,0.697,14,4822.233,270467,17.8293,1.0082
Nicaragua,NIC,5.2,4.3,53.73,58.522,No data,74.43473,3.6,1,5.6,17.20000076,17,5.2,4.7,5.6,10.06,484.53,150,Nicaragua,5/8/20 4:32,12.865416,-85.207229,16,5,7,4,0.241525694,31.25,,,,0.432,126,6624.554,130373,50.8123,1.0121
Niger,NER,6.7,7,17.72,16.425,8.98,13.56666,6.8,4.5,5.8,84.5,16.5,7.7,7.9,5.8,0.5,61.43,553,Niger,5/8/20 4:32,17.607789,8.081666,781,42,586,153,3.226388004,5.377720871,,,,0.634,189,24206.644,1267000,19.1055,1.0384
Nigeria,NGA,6.9,6.7,215.06,50.344,41.95,39.17175,6.1,6.1,6.1,100.1999969,13.4,6.5,9.3,0.9,3.83,213.74,814,Nigeria,5/8/20 4:32,9.082,8.6753,3526,107,601,2818,1.710491445,3.034600113,Nigeria,5/6/20,21208,0.692,158,206139.589,923768,223.1508,1.0258
